title,link,intro,objective,outline
"Gears - Definition, Manufacturing, Control and Implementation",https://www.ntu.edu.sg/pace/programmes/detail/gears---definition-manufacturing-control-and-implementation,"Introduction Discover the key elements needed to achieve quality gears and be more efficient in your discussions with experts Ceti m the leading French Technical Centre for Mechanical Industry was established in 1965 to support innovation and competitiveness of engineering companies through its multidisciplinary expertise and unique R&D capabilities In Asia Pacific CETI M Mat cor a forward looking company is specialized in the field of Material Corrosion Assessment Failure Analysis Forensic Investigation and Mechanical Power Transmission Jointly with NTU, CETI M Mat cor will conduct advance engineering courses for engineers who will like to understand and learn in depth knowledge from our experience trainers with vast industrial and field experience Courses are largely focused on Corrosion Engineering and Failures Analysis in areas such as Pressurized Equipment Shafts Gears Bearings as well as Forensic Engineering Investigation",Upon completion of the training the attendants will be able to carry out the following Consult a definition plan a range of manufacture a report of and extracting the useful elements Understand and follow the whole process of making a gear design at the reception Identify the theoretical and practical elements that are essential for producing quality gears and guarantee their service life,Basic concepts on the geometry of gears to Teeth in in vo lute Spur and helical gears Meshing driving report interference slip Tooth corrections profile and helix corrections Resistance to contact pressure and breakage service life The principles of manufacture of cylindrical gears for each machining process presentation of machines and tools Gear cutting processes hob pinion Finishing processes of teeth grinding shaving honing Other machining processes Principles of to le ranc ing and control of cylindrical gears Control of teeth in manufacture Metro logical control of the teeth Case study reading of plans and exploitation of measurements Concepts on the implementation of cylindrical gears Operating clearance Lubrication and evacuation of calories Behavior and the degradation of the teeth in use Notions of maintenance linked to the monitoring of gearboxes noise vibrations Examples of gear assemblies gearboxes with parallel trains planetary transmissions Presentation of other types of gears
Geometric Dimensioning & Tolerancing,https://www.ntu.edu.sg/pace/programmes/detail/geometric-dimensioning-tolerancing,Introduction Today engineering drawings are used to define or describe most manufactured parts In each of these parts tolerances are specified to cater for the variations encountered in the manufacturing process This is to ensure that acceptable levels of variation and quality for each geometric feature can be achieved when parts are assembled together to form an engineering product As mechanical designs can be complex involving numerous parts and sub assemblies increasingly more firms are required to specify and interpret Geometric Dimension ing To le ranc ing (GD&T) symbols on these drawings so that better clarity and acceptance rates can be achieved This course seeks to look at the GD&T language and its related symbols its concepts and rules as well as to read interpret and specify them so that greater technical and productivity can be achieved,To learn the basic principles and building blocks of GD&T To appreciate the merits of GD&T and how it complements conventional to le ranc ing methods To be able to read specify and interpret GD&T language To apply GD&T for technical and economic competitive advantages Underpinning Knowledge To know the definitions concepts and rules of the GD&T language and its related symbols To read interpret and specify the various GD&T symbols in the engineering drawings To be exposed to the various gauging tools and techniques used to determine the intended geometric characteristic features,Fundamental Review Co or d Dimension ing its Role Limitations and Consequences GD&T: An enhanced dimension ing approach Essential GD&T concepts Its definition GD&T Language Characteristics Symbols Basic Concepts Feature Features of Size Material Conditions and its Modifiers Radius and Controlled Radius GD&T Standard Rules Boundary Conditions Virtual Condition Bonus Tolerance Datum s Datum in Co ordinate To le ranc ing Datum s in GD&T Planar Datum s Datum Targets FOS Datum Features and Applications Form Controls and Tolerances Flatness Straightness Circularity Cylindric it y Orientation Controls Tolerances Perpendicular it y Angularity Parallelism Tolerance of Position (TOP) Fundamental Concepts of Positional Tolerance Interpret RFS and MMC tolerance of position applications Draw cartoon gauges for MMC applications Interpret TOP special applications Calculate limit distances on a part dimension ed with TOP Calculate tolerance of position values using the fixed and floating fastener formulae Concentric it y Symmetry and Run out Concentric it y Control and Applications Symmetry Control and Applications Circular and Total Run out How to Specify Control and Interpret Run out Profile Control Understand profile to le ranc ing Know how to specify control and interpret the different profiles Worked Exercises and Deliberation
HC8002 Understanding Chinese Cinemas,https://www.ntu.edu.sg/pace/programmes/detail/hc8002-understanding-chinese-cinemas,Introduction This course mainly focuses on films produced by Chinese communities living in Hong Kong Taiwan and mainland China,By exploring different varieties of Chinese cinemas students will gain an in depth knowledge of the societies in which they originate from and the inner and cross cultural dialogues that preside within,The geographical demarcation also marks the different cultural and social contexts in which the films are made and marketed at The films selected for cultural appreciation in the course not only represent the major cultural developments and trends they have contributed to world cinema but also the intellectual meanings and emotional impact they play among Chinese and non Chinese audiences
HE9091 Principles of Economics,https://www.ntu.edu.sg/pace/programmes/detail/he9091-principles-of-economics,Introduction This course covers fundamental tools and applications of concepts in microeconomics and macroeconomics,This course covers fundamental tools and applications of concepts in microeconomics and macroeconomics The section on microeconomics focuses on markets as a mechanism for allocating scarce resources Using tools of welfare economics it analyses demand supply market system and the concepts of elasticity It also addresses market efficiency outcomes from market failures production and firms with market influence The section on macroeconomics provides a mix of classical and Keynesian ideas addressing the forces that shape the economy in both the short run and the long run,"Topics include the calculation of GDP, analysis of inflation and employment theory of economic growth the role of financial markets fiscal and monetary policies and the international economy"
HG8004 Communication Across Cultural Context,https://www.ntu.edu.sg/pace/programmes/detail/hg8004-communication-across-cultural-context,Introduction To gain a basic understanding of issues and problems pertaining to interlanguage and intercultural communication,To foster awareness building and a deeper level of understanding of the complexities and realities of intercultural communication relevant to various work settings,To introduce intercultural theories frameworks and models to students without a linguistics background and to link those to intercultural communication in practice
HP8001 Mind Over Stress,https://www.ntu.edu.sg/pace/programmes/detail/hp8001-mind-over-stress,Introduction This class guides you in identifying understanding and successfully managing various types of stress in our contemporary fast paced lifestyle,This class guides you in identifying understanding and successfully managing various types of stress in our contemporary fast paced lifestyle Discover how stress affects your body making it more prone to illness and poor performance Based on scientific research learn to become more stress resistant through improving your self awareness changing your thinking habits building a physical activity routine that suits you and the creation of relaxation with safe simple and tested techniques like mental imagery Apply research findings and enjoy the benefits of having greater control in the academic social family spiritual and occupational components of your life,Course Introduction What is Stress Psycho physiology of Stress Stress and Illnesses Intervention 1 Coping with Stress the Environment Intervention 3 Managing Intra personal Thoughts and Emotions Personality and Stress Social Support and Stress Strategies for Decreasing Stressful Behaviours Strategies for Promoting Healthy Behaviours Applications Occupational and Academic Stress
HP8002 Working in the 21st Century,https://www.ntu.edu.sg/pace/programmes/detail/hp8002-working-in-the-21st-century,Introduction This course aims to provide students with an understanding of some areas of study within the field of behavioural sciences that are relevant and applicable to the work situation,Work in the 21 st Century is characterised by competition on a global scale where jobs are becoming increasingly knowledge intensive and technology driven and where the constant change is the rule rather than the exception This course aims to provide students with an understanding of some areas of study within the field of behavioural sciences that are relevant and applicable to the work situation This course explores the role of socio psychological factors among individual and work group behaviour as a basis for understanding our place in the work setting,The lecture topics present four areas of interest personality and work occupational health learning performance and career development While each section is designed to be a stand alone module all the four areas of study are fully integrated within the general context of the work situation in organisations Empirical findings from applied research are used to explain psychological principles and concepts and the course emphasises a practical approach to applying psychology in the workplace
HP8003 Are you Okay? Mental Health in Singapore,https://www.ntu.edu.sg/pace/programmes/detail/hp8003-are-you-okay-mental-health-in-singapore,Introduction Are you OK? We often ask each other this question We are often concerned about the psychological well being of our family members friends and most importantly ourselves,"In this course we will discuss issues concerning psychological well being and mental health in Singapore the early signs of not being ""OK"", when you might need professional help and where you might find the appropriate help The course will be taught by a seasoned mental health practitioner in Singapore in collaboration with our in house faculty members",Introduction The Family Development Learning and Mental Health Adolescence Personality and Problems Human Sexuality Stress Emotions and disorders Alcohol and Substance use Old Age and Mental Health Psychosis Healing of the Mind
HP8005 Introduction to Human Resource Management,https://www.ntu.edu.sg/pace/programmes/detail/hp8005-introduction-to-human-resource-management,Introduction In today's fast paced and competitive work environment a student is often lost as to how and where to find jobs and how to manage one's career,This course will provide an introduction to the contemporary human resource management functions employment employee relations training and development performance systems compensation benefits and human resource information systems It is not the objective of this course to train students to be HRM managers but to provide basic information for students to plan and manage their own careers,Introduction Overview and the Legal Environment Strategy Analysis of Work HR Planning and Recruitment Selection Training Performance Management Employee Development Pay Structure Rewarding employee contributions Separation and Retention Benefits
HZ9101 Introduction to Creative Writing,https://www.ntu.edu.sg/pace/programmes/detail/hz9101-introduction-to-creative-writing,Introduction This module will enable you to study examples of imaginative and discursive writing in texts from a range of genres while encouraging confidence in your writing practice This is a single credit bearing course from NTU Undergraduate Degree Programmes,You will learn the value of critical and creative reading explore the various forms creative writing takes such as fiction poetry creative non fiction and script writing The module will help to develop a basic awareness of literary and linguistic concepts relevant to the production of coherent well structured writing and foster abilities in original composition drafting and editing The overall aim of the module is to enhance the impact of your writing on readers and audiences By the end of this course you will be able to Examine a range of exemplary published texts from a writer ly point of view Apply the knowledge acquired in the drafting and revision of your own compositions Provide constructive feedback on peer produced workshop drafts Communicate effectively through the overall structure and sentence level organisation of written texts in the target genres,This foundational course introduces students to the major literary genres of poetry fiction and drama and to the literary techniques essential to success in these genres including imagery voice dialogue character is ation and narration as well as to the processes which drive creative productivity Students will complete original assignments in each of these major genres while learning the procedure for work shopping each other's products and the benefits of constructive criticism and revision
Health Coaching for Older Adults,https://www.ntu.edu.sg/pace/programmes/detail/health-coaching-for-older-adults,"Introduction Primary care physicians provide medical care for patients through the diagnosis of health conditions and subsequent prescription of medication However non adherence to prescription reduces the benefit of treatment leading to poor prognosis Although there are several interventions that aim to improve medication adherence most interventions do not render expected outcomes Having informal care support is associated with increased medical adherence but it is noted that medical adherence interventions rarely equip informal caregivers with skills to support care recipients effectively Health coaches have the potential to address the gap between physicians and caregivers Health coaching (HC) is an intervention through which a health coach engages with a client by listening and observing so as to provide personalized solutions for facilitating behaviour change This training programme aims to train participants on the topic of Health Coaching (HC), specifically for assisting elderly citizens in managing chronic ailments e g diabetes Currently available global HC programmes are applicable for training coaches to help clients primarily with conditions and ailments such as diabetes stress and other chronic diseases However there is only a very small number of HC training programmes with specific focus on elder care The current programme attempts to address this opportunity This training programme is novel in the context of Singapore as the practice of HC is hitherto new to this region This programme will train participants in areas such as evaluating elderly clients health information exercise and movement nutrition and diet behaviour change assessment and coaching health and well being goals Upon completion the participants will have the confidence and skill sets to work as a health coach empowering elderly clients to effectively change their behaviours to achieve their health goals",At the end of this course participants will be able to Explain what health coaching is and its differences with other healthcare professions Provide examples of how health coaching can be used to improve health outcomes among community dwelling older adults Gain a basic understanding of different techniques used in health coaching Use basic knowledge of gerontology nutrition and physical exercise to facilitate effective health coaching Identify health coaching job opportunities in Singapore,HCT01: Foundation in Gerontology Under the rubric of population ageing the study of Gerontology has received vast attention in the academic world as it encompasses a broad spectrum of inquiries related to psychology and sociology as well as health medicine and social policy This course provides an interdisciplinary overview of the major ageing perspectives bio psycho social theories and clinical practices from a global viewpoint with a critical focus on the Asian experience HCT02: Health Coaching Basics Health Coaching is a profession designed to be a partnership with a client for managing chronic diseases It requires listening observation and customized solutions and strategies to support and enhance skills of clients particularly aimed at behavior change A health coach is very different from a health care practitioner Health coach who is not a licensed healthcare practitioner provider needs to use strategies and techniques from different disciplines This course provides an overview on the practice of Health Coaching with topics ranging from the foundational theories techniques to best practices HCT03: Nutrition for Older Adults This course provides participants with an overview of concepts related to human nutrition and dietetics and its implication to the health of older adults in Singapore While the courses contents provide general information on nutrition and dietetics for older adults some cases and examples are prepared based on Singapore s context Knowledge and skills gained from this course will be useful when providing nutritional and dietary advice for older adults in Singapore HCT04: Exercise and Fitness This course is meant to compliment the other courses in the overall training programme with information about the exercise and fitness aspects of Health Coaching The topics in this course underline the role of physical activity for elderly people The importance of personal fitness and different types of exercises are introduced along with techniques for injury prevention and pain management
Human Centred Design for Web & Mobile,https://www.ntu.edu.sg/pace/programmes/detail/human-centred-design-for-web-mobile,Introduction Human Centered Design teaches students the processes to apply user centric approaches to uncover insights and develop solutions that directly fulfill the customers core needs within the context of great digital products Taught by industry professionals this course covers the key HCD processes needed in a UX design or Product Management role,Upon completion of this program the successful student with have reliably demonstrated the ability to understand and apply the underlying principles of Empathy Based Design Communication Defining Design Requirements Creating Clear Briefs Idea tion Techniques Strategy Formation Prototyping Prototype Testing,Our curriculum is built through regular consultation with industry professional and hiring partners and is designed to teach the skills tools and technologies to meet the evolving needs and trends emerging in the tech industry Human Centered Design in Teams Lead productive idea tion sessions Building effective teams forming storming nor ming performing Drexler Sib bet Model for team performance Effective communication feedback tools The Four Agreements model Developing a human centric approach to problem solving Applying best practices and processes of Human Centred Design Idea tion Techniques Strategy Formation Defining the user through user person as Appreciative Inquiry Model and constructive thinking Developing Mind Maps and Affinity Diagrams Understanding opportunities through SWOT Analysis and the BCG Matrix Understanding User Needs vs Wants Ma slows Hierarchy Using competitive analysis in strategy formation Using the 36 Stratagems in strategy formation Using limitations and constraints in creative problem solving Setting objectives using SMART goals and OK Rs Defining Design Requirements Creating Clear Briefs Learn how to define Design Requirements through visual storyboarding Understand how to distill Design Requirements into a Creative Brief Produce communicate and present a Creative Brief confidently and effectively Prototyping Testing Fundamentals Understand the principles of prototyping and concept testing How to build low fidelity and high fidelity prototypes How to test usability messaging and content effectively
Implement Optical Metrology,https://www.ntu.edu.sg/pace/programmes/detail/implement-optical-metrology,Introduction Measurement at the micro meso and nano level is utmost importance to meet the challenging needs of todays engineering needs This course in this context focuses on giving conceptual and exercise oriented training of measurement methodologies employing optical concepts currently employed optical metro logical methodologies and related equipments and its relevance to the industry Current developments and importance of new optical metro logical concepts and tools for measurement with the required accuracy will also be introduced to the students The course will focus on reinforcing the measurement concepts practiced in optics industries through case studies It will also cover latest developments and challenges both at industry and research and developmental stages in optical measurements The Optical metrology Theory and Practice course relates to all personnel needing to apply and learn measurement methods and measuring Instruments in engineering ranging from manufacturing inspection to procurement Through the course it may assist them to better manage their project scope correct choice of instruments quality problem solving and cost,1 To learn the basic principles and methodologies of optical Metrology 2 To appreciate the merits of measurement methodologies and how they complements and improve conventional measurement methods 3 Understand the concepts of speckle metrology 4 Understand the role of Fiber optics in metrology and Non contact methodologies 5 Whole field measurement and NDT approaches 6 To apply the above mentioned technical concepts for problem solving in metrology industry Underpinning Knowledge 1 Know the definitions concepts and Instrumentation aspects of the optical metrology and their applications 2 How to read interpret and configure measurement approaches using optical concepts drawings 3 Expose to the various optical measurement techniques with different ac curacies,"Day 1 1 Understand and use of basic optical metrology concepts Optical Metrology Introduction Fundamentals of Optical Metrology A theoretical Understanding Part A Fundamentals of Optical Metrology A theoretical Understanding Part B Day 2 2 Light Sources for metrology fiber optics and speckle metrology Metro logical coherent and incoherent sources Fiber optics understand specify interpret and use of optical fibers and its principles in metrology Speckle and spec u lar metrology Day 3 3 Speckle metrology and NDT, common applications of optical metrology conventional and advanced systems Speckle metrology applications Formative Assessment Applications of significance a Focal length curvature and Angle measurement b Pro filo me try Day 4 Summa ti ve Assessment and revision"
Industrial Internet of Things for Advanced Manufacturing,https://www.ntu.edu.sg/pace/programmes/detail/industrial-internet-of-things-for-advanced-manufacturing,Introduction The Industrial Internet of Things or Industrial Internet differs from the Internet of Things which is focused on getting consumer electronics and other items connected to internet IIOT focus on bringing greater visibility and control over the different parts of the industrial operations from assets tracking operations feedback maintenance monitoring etc The end result is deep insight into the operational models of the manufacturing process and allowing for the unlocking of the business value through greater efficiency,The Industrial Internet of Things or Industrial Internet differs from the Internet of Things which is focused on getting consumer electronics and other items connected to internet IIOT focus on bringing greater visibility and control over the different parts of the industrial operations from assets tracking operations feedback maintenance monitoring etc The end result is deep insight into the operational models of the manufacturing process and allowing for the unlocking of the business value through greater efficiency This two day course is a combination of lectures and case studies with discussions It is highly relevant for managers and engineers a like helping them to develop skills in building and deploying industrial internet of things,Day 11 The landscape of Industrial Internet of Things 2 Applying Industrial Internet of Things into Advance Manufacturing Understanding the manufacturing process 3 Information technology vs operational technology 4 Identifying opportunities for data analytics and M2M connectivity 5 Creating the data model and defining the user model 6 Role of analytics in Industrial Manufacturing Getting insights into the manufacturing process 7 Case studies of Industrial I OT Day 28 The IOT solution architecture 9 Creating the IOT architecture for the Industrial Internet Major components of the I OT Devices Connectivity Gateways Cloud Security Suppliers of horizontal and vertical solutions
Innovation & Entrepreneurship: Generating and Protecting Business Ideas to Planning and Launching the Actual Business,https://www.ntu.edu.sg/pace/programmes/detail/innovation-entrepreneurship-generating-and-protecting-business-ideas-to-planning-and-launching-the-actual-business,Introduction The globalization brings opportunities however it also brings pressures for domestic firms as it increases competition To remain and improve their competitive position firms have to innovate and manage the technology as these are the key drivers of competitive advantage in today's knowledge based global economy Therefore the aim of this course is to provide a broad understanding of the dynamics of technological development and practice for starting developing and growing new business through innovation and creativity,This Course intends to provide participants with concepts of creativity innovation entrepreneurship technology management and the necessary skills to inspire innovation and harness the power of technology within the organization or individual businesses to innovate grow and succeed in todays fast changing global digital economy The participants will also learn to become leaders who can manage and innovate in dynamic business environments,Introduction to Technology and Entrepreneurship Technology management drivers of innovation and creativity Techno pre n eur ship and some success stories Google Microsoft YouTube Facebook Amazon etc economic impact of entrepreneurial firms Idea generation and building Business Plan Business ideas generation changing economic social and political trends Feasibility analysis reasons for writing a business plan the elevator speech business plan red flags financial analysis and projections presenting the business plan and acquiring the funding Amazon Intel and various other case Studies Innovative Robust Business Models Business Model and Business Model Examples The Type of Revenue Streams Business Model Design Process The Value Proposition Key Resources and Key Processes Three Characteristics of a Good Business Model Identifying the Dominant Business models Business Models Design Strategies new models for digital economy virtual organizations e value chain value web Types of Ventures Marketing and Intellectual Property Choosing the right form of ownership single partnership and corporation legal form of the firm family owned businesses franchising and its boom Elements of marketing plan market segment positioning market research and the sales force Patents copyrights and other IP intellectual property Franchising and related case studies E commerce Globalization Webs global reach Technology S Curves and Disruptive Technology How to identify winning technology four stages of S curve radical innovation disruptive innovation sustaining innovation Imitation and Blue Ocean Strategy Imitation and counterfeiting four stages of industry life cycle first move advantages imitation strategies Blue and Red oceans strategies value proposition Cirque du Soleil and other case Studies in different business sectors Technology Commercial is ation and Valuation New product failure rate market and technical aspects three major approaches to valuation discounted cash flow break even analysis Acquisition Merger and related case studies Risks and Returns Measure of risk sources of uncertainty managing risk and uncertainty estimating risk and reward and related case studies
Introduction to Economics,https://www.ntu.edu.sg/pace/programmes/detail/introduction-to-economics,Introduction This course provides an overview of economics and its application to explain real life issues It covers topics like efficiency demand and supply production and cost national income inflation and unemployment and government policies that are relevant to day to day life Certificate of Completion will be issued basing on given criteria Please complete all assessments and the project and obtain a total score of at least 50,Students who successfully complete this course will be able to Perform a cost and benefit analysis on real life issues Make rational economic decisions in view of resource constraints Understand how an economy works and appreciates the economic issues concerning individuals Analyse the impact of government policies on the welfare of individuals,Unit 1 Fundamental of Microeconomics Unit 2 Production and Cost Unit 3 Fundamental of Macroeconomics Unit 4 Fiscal and Monetary Policies
Introduction to Engineering Thermodynamics,https://www.ntu.edu.sg/pace/programmes/detail/introduction-to-engineering-thermodynamics,Introduction This course provides an introduction to the fundamental concepts of engineering thermodynamics It highlights the essential topics such as thermodynamic properties and laws and its application to the design of thermal systems It is also a useful bridging course for prospective students for the Bachelor of Engineering programmes at NTU and NUS Certificate of Completion will be issued basing on given criteria Please take all the required online tests and score at least 60 each,Students who successfully complete this course will be able to Understand the fundamental definitions and terminologies used in the study of engineering thermodynamics Use thermodynamics tables to obtain the properties of pure substances Apply the first law of thermodynamics to engineering systems,Unit 1 Introductory concepts of thermodynamics Unit 2 State postulate temperature and the Zeroth Law Unit 3 Concept of a pure substance and phase change processes Unit 4 Property tables and the ideal gas equation of state Unit 5 Heat and work Unit 6 First law of thermodynamics and its application
L6002 Quantitative Methods for Logistics Analysis,https://www.ntu.edu.sg/pace/programmes/detail/l6002-quantitative-methods-for-logistics-analysis,Introduction Many managerial decisions are increasingly being based on analysis using quantitative methods Quantitative tools techniques and concepts have dramatically changed the way businesses operate in supply chain logistics manufacturing and service operations When used wisely quantitative methods have enormous power to enhance the competitiveness of almost any company This course is designed to equip the learners with fundamental quantitative techniques that help making more informed managerial decisions This course is part of Graduate Certificate in Supply Chain Engineering Mini Master sTM in Supply Chain Engineering,At the end of the course learners are able to apply various analytical methods needed for logistics decision making,Probability and Statistical Concepts Sampling Methods Statistical Inference Estimation Hypothesis Testing Goodness of fit Tests Non Parametric Procedures Regression Analysis Optimisation Techniques for Solving Logistics Problems Linear and Integer Programming Network Flow Analysis Queuing Theory Computer Applications
L6003 Corporate Resource Planning,https://www.ntu.edu.sg/pace/programmes/detail/l6003-corporate-resource-planning,Introduction This course is designed to equip the learners with knowledge on planning and investing corporate resources for innovation growth and competitive advantage This course is part of Graduate Certificate in Supply Chain Engineering Mini Master sTM in Supply Chain Engineering,At the end of the course learners are able to 1 Appreciate the context of Manufacturing Planning and Control 2 Learn to plan demand placed on its manufacturing capacity for an organization 3 Become familiar with sales and operations planning techniques 4 Develop master production schedule based on actual demand and forecasts 5 Develop detailed material requirement plans based on MPS and 6 Appreciate the role of capacity planning in the MPC framework,Planning and investing corporate resources for innovation growth and competitive advantage Global manufacturing and the design of supply chain strategies Technical and economic analysis of different approaches to corporate strategies Impact of technological changes International operations planning Enterprise and integration Enterprise resource planning Organisation and capacity planning Performance evaluation
L6102 Procurement & Supplier Development,https://www.ntu.edu.sg/pace/programmes/detail/l6102-procurement-supplier-development,Introduction Managing Procurement Management Process includes to identify supplier contract milestones to review supplier performance against contract to identify and resolve supplier performance issues Systematic coordination of all aspects of the procurement process bids price negotiations assuring proper quantities and specifications shipping and delivery Challenges in Public Procurement Engineering economics and analysis Contracting out and outsourcing decision This course is part of Graduate Certificate in Supply Chain Engineering Mini Master sTM in Supply Chain Engineering,At the end of the course learners are able to 1 Apply the fundamental knowledge of procurement management and supplier development 2 Gain a good concept of public and private procurement and supplier development process 3 Appreciate cost analysis and the rational of cost adjustments of procurement 4 Understand business models and their applications in various logistics functions and 5 Gain knowledge on the integrated procurement process,Public and private project considerations Present worth method and annual worth method Benefit cost ratio method for projects evaluation Strategic Purchasing and Supply Management Type of contract Fixed price Cost reimbursement Incentive Indefinite delivery Time and materials etc Selecting Suppliers for Development Key Technical Purchasing Skills Contract Management Project Management Skills and Interpersonal Skills Industry Trends Decision Process Specification Development Bid Process Soliciting Bids and Selecting a Supplier Receiving Process Alternate Purchasing Strategies Supplier Performance Measurement and Evaluation
L6103 Supply Chain Analysis and Design,https://www.ntu.edu.sg/pace/programmes/detail/l6103-supply-chain-analysis-and-design,Introduction This course is designed to equip the learners to appreciate the issues and challenges in supply chain management namely conflicting objectives and supply chain dynamics This course is part of Graduate Certificate in Supply Chain Engineering Mini Master sTM in Supply Chain Engineering,At the end of the course learners are able to 1 Appreciate the issues and challenges in supply chain management namely conflicting objectives and supply chain dynamics 2 Appreciate the value of information in reducing dynamics in supply chains 3 Conversant with issues and techniques for designing supply networks appreciate the role of pipeline and safety inventory and difference between push and pull supply chains 4 Familiar with SC contracts to align incentives of supply chain partners 5 Identify appropriate SC performance measures and collect information for their measurement and 6 Appreciate the risks in global supply chains and identify designs that minimize the risks,Supply chain management issues and challenges risk pooling Value of information Multi echelon inventory management Supply chain integration push pull supply chain Supply chain drivers and metrics SC performance measurement Supply network design pipeline inventory consideration in supply chains Inventory transportation trade off Supply contracts Risks in global supply chains and supply chain strategies Environmental sustainability considerations in supply chains
L6115 Management of Logistics Functions,https://www.ntu.edu.sg/pace/programmes/detail/l6115-management-of-logistics-functions,Introduction This course will provide the learners with knowledge on the management of three main logistics functions freight management warehousing management and distribution management This course is part of Graduate Certificate in Supply Chain Engineering Mini Master sTM in Supply Chain Engineering,At the end of the course learners are able to 1 Become familiar with transportation modes shippers freight for warders and carriers third party fourth party logistics and distribution industry inventory and warehousing management 2 Understand the scope of distribution requirements planning layout design international distribution requirements customs and taxation intermodal transportation systems 3 Appreciate the nature and importance of warehousing warehousing operations layout and design principles receiving cross docking Put away sorting order picking SKU handling internal transportation vendor managed inventory material handling and warehousing equipment inventory costs models and cases in warehousing management 4 Familiar with the role of transport in logistics legal classification of carriers cost of service and rates value of service freight consolidation cost optimization and 5 Apply concepts pertaining to freight demand and modeling performance measures domestic freight transportation documentation international transportation documentation electronic data interchange carrier liabilities,Topics covered include Introduction to Logistics Function and their Management Distribution Management Warehousing Management Transportation Management Freight Resource Planning and Case Study in Management of Logistics Functions
Laser Machining and 3D Printing for Industry,https://www.ntu.edu.sg/pace/programmes/detail/laser-machining-and-3d-printing-for-industry,Introduction Additive layer Manufacturing (ALM) or 3D printing has garnered significant worldwide attention in the recent years and is increasingly being implemented in the industries as one of the pillars of 4 th industrial revolution This short course will introduce the importance of 3D printing and also educate the potential roles played by new generation lasers to 3D printing landscape It also highlight the potential of laser technology in fabricating fully functional 3D component directly The course also details laser assisted one dimensional 2 dimensional and 3 diem ns ional machining This course is suitable for all level of participants who are keen to gain overall understanding of the 4 th industrial revolution impact of potential 3 D printing techniques and role of lasers in them how the laser assisted machining going to impact the new machining and manufacturing industry,1 Understand the potential role played by lasers in 3D printing 2 Exposure to the underlying principle behind laser assisted manufacturing 3 Give basic understanding of involved optics in 3D printing and multi dimensional machining 4 Give overall impact of Laser assisted machining and 3D printing in 4 th industrial revolution,1 Intro to Lasers 2 Basic Optics for 3D Printing and Manufacturing 3 Laser based 3D Printing and impact in 4 th industrial revolution 4 Multi Dimensional Laser Assisted Manufacturing 5 Advanced 3D Manufacturing Micro and Nano scale Patterning 6 Impact in industry
Life Science,https://www.ntu.edu.sg/pace/programmes/detail/life-science,Introduction This life science course is meant for everybody It is equally useful for those who intend to pursue an engineering or science education in a university as well as for those who want to acquaint themselves with some useful knowledge about the various aspects of life science Certificate of Completion will be issued basing on given criteria Please take all the required online tests and score at least 80 each,Students who successfully complete this course will be able to understand the following concepts What is the structure of DNA What is the function of DNA How DNA replicate How are proteins built from the instructions in DNA How are genes controlled and what is cancer Genetic engineering Viral and bacteria infections and Immunity,Materials for all the 45 chapters are available in the course site but the emphasis is placed on the following 5 chapters Chap 12 DNA Structure and Function Chap 13 From DNA to Proteins Chap 14 Controls Over Genes Chap 15 Recombinant DNA and Genetic Engineering Chap 35 Immunity
M6141 Quality Engineering,https://www.ntu.edu.sg/pace/programmes/detail/m6141-quality-engineering,Introduction The course covers the following sections Quality concepts statistical process control process improvement design of experiments reliability quality management systems and design product liability Case studies and examples of industrial applications will be used throughout the course The course develops an appreciation of advanced quality engineering techniques and a perception of how quality can be built into all stages of a product lifecycle This course is part of Graduate Certificate in Advanced Manufacturing Mini Masters TM in Advanced Manufacturing,At the end of the course learners are able to 1 Gain knowledge on Quality Control seven tools advanced control charting techniques acceptance sampling plans process capability and gauge capability and 2 Apply theories through single and factorial experiments 2 k design fractional design,i Theories and applications of the technologies used in quality engineering ii Statistical process control SPC iii QC seven tools iv Advanced control charting techniques v Acceptance sampling plans vi Process capability and gauge capability vii Design of experiments DOE viii Single and factorial experiments x 2 k Design xi Fractional design and case studies
M6235 Advanced Manufacturing Processes,https://www.ntu.edu.sg/pace/programmes/detail/m6235-advanced-manufacturing-processes,Introduction This course provides an advanced level understanding of manufacturing processes needed to provide shape dimensions and properties to materials at an affordable cost Starting from the nature of raw materials available for shaping various methods to shape them will be described The emphasis will be on linking the nature of the process to the shapes dimensions and properties that can be achieved Case studies will be utilized to facilitate the understanding of the choice of the manufacturing processes for various components The course aims to provide learners with comprehensive coverage of modern manufacturing processes emphasize on the quantitative treatment of manufacturing by introducing manufacturing science concepts and mathematical models to describe and design the processes and relate theoretical concepts to industrial practice through case studies and assignments This course is part of Graduate Certificate in Advanced Manufacturing Mini Masters TM in Advanced Manufacturing,At the end of the course learners are able to 1 Describe and relate the various concepts of different advanced manufacturing processes and 2 Demonstrate problem solving skills that are related to the advanced manufacturing processes of engineering materials,i Overview of manufacturing ii Solidification processes iii Metal forming iv Material addition processes v Material removal processes vi Particulate processing of metals and ceramics vii Assembly technologies Manufacturing selection and process planning
